Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
hll0_shuffle_stats	[1,421, 363,799]	[-86%, 3538%]	0.000	0.000	0.060	0.150	0.230	0.060	0.150	0.230
hll0_rehashed_stats	[1,421, 363,799]	[-86%, 3538%]	0.001	0.010	0.000	0.000	0.000	0.060	0.150	0.230
hll0_mask_stats	[1,421, 182,085]	[-86%, 1721%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[1,421, 363,799]	[-86%, 3538%]	0.384	0.384	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[1,421, 363,799]	[-86%, 3538%]	0.384	0.384	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[2,802, 56,273]	[-72%, 463%]	0.000	0.000	0.070	0.250	0.310	0.070	0.250	0.310
hll1_shuffle_stats	[2,802, 56,273]	[-72%, 463%]	0.000	0.000	0.060	0.150	0.230	0.070	0.250	0.310
hll1_rehashed_stats	[2,802, 56,273]	[-72%, 463%]	0.001	0.010	0.000	0.000	0.000	0.070	0.250	0.310
hll1_mask_stats	[2,559, 41,028]	[-74%, 310%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[2,802, 56,273]	[-72%, 463%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[2,802, 56,273]	[-72%, 463%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[6,243, 16,850]	[-38%, 68%]	0.001	0.001	0.330	0.890	1.840	0.330	0.890	1.840
hll4_shuffle_stats	[6,243, 16,850]	[-38%, 68%]	0.001	0.001	0.060	0.150	0.230	0.330	0.890	1.840
hll4_rehashed_stats	[6,243, 16,850]	[-38%, 68%]	0.002	0.011	0.000	0.000	0.000	0.330	0.890	1.840
hll4_mask_stats	[5,704, 16,369]	[-43%, 64%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[6,243, 16,850]	[-38%, 68%]	4.787	4.787	0.000	0.000	0.050	0.000	0.000	0.050
